text,label
you are stupid,harassment
i hate you,harassment
you are useless,harassment
shut up idiot,harassment
you are dumb,harassment
idiot person,harassment
worst human ever,harassment
nonsense talk,harassment
go away stupid,harassment
you are pathetic,harassment
you are a loser,harassment
nobody likes you,harassment
you are trash,harassment
such a useless person,harassment
you are annoying,harassment
this is garbage,harassment
you are worthless,harassment
you are so bad,harassment
disgusting behavior,harassment
you are a joke,harassment
you are horrible,harassment
terrible person,harassment
you make no sense,harassment
stop talking nonsense,harassment
you are the worst,harassment
you are embarrassing,harassment
you are irritating,harassment
pathetic effort,harassment
this is nonsense,harassment
you are clueless,harassment
you are dumb as ever,harassment
you are completely useless,harassment
no one cares about you,harassment
you are a failure,harassment
you are so annoying,harassment
this is the worst thing ever,harassment
you are brainless,harassment
you talk rubbish,harassment
you are not smart,harassment
you are a mistake,harassment
you are disgusting,harassment
what a useless person,harassment
you are worthless trash,harassment
you are not needed,harassment
you are a bad person,harassment
you are not good at anything,harassment
you are always wrong,harassment
you are a big joke,harassment
this is awful,harassment
you are irritating everyone,harassment
you are a terrible human,harassment
you are not worth anything,harassment
you are completely wrong,harassment
you are so bad at this,harassment
you are a disgrace,harassment
you are not helpful at all,harassment
you are ruining everything,harassment
you are so useless,harassment
you are annoying me,harassment
you are not capable,harassment
you are totally useless,harassment
you are very stupid,harassment
you are not intelligent,harassment
you are hopeless,harassment
you are a waste,harassment
you are not important,harassment
you are so dumb,harassment
you are a bad example,harassment
you are not good enough,harassment
you are extremely annoying,harassment
you are worthless person,harassment
you are not skilled,harassment
you are a poor performer,harassment
you are disappointing,harassment
you are irritating me,harassment
you are useless at this,harassment
you are not useful,harassment
you are so irritating,harassment
you are bad at everything,harassment
you are nothing special,harassment
you are very annoying,harassment
you are not impressive,harassment
you are below average,harassment
you are not helpful,harassment
you are not talented,harassment
you are not smart enough,harassment
you are a poor example,harassment
you are very bad,harassment
you are extremely useless,harassment
you are not valuable,harassment
you are very irritating,harassment
you are not worth it,harassment
you are a weak person,harassment
you are not good,harassment
you are always bad,harassment
you are not capable enough,harassment
you are very poor,harassment
you are completely useless person,harassment
good job bro,normal
nice work,normal
great effort,normal
awesome work,normal
well done,normal
keep it up,normal
excellent job,normal
very nice,normal
good performance,normal
amazing work,normal
i appreciate your work,normal
this is helpful,normal
well explained,normal
great job team,normal
you did well,normal
fantastic effort,normal
nice explanation,normal
brilliant work,normal
good improvement,normal
very impressive,normal
this is amazing,normal
i like this,normal
great work,normal
very good job,normal
excellent work,normal
nice effort,normal
well performed,normal
good results,normal
very helpful,normal
great explanation,normal
awesome job,normal
fantastic work,normal
nice presentation,normal
good thinking,normal
well executed,normal
very clear explanation,normal
good clarity,normal
great understanding,normal
nice idea,normal
excellent explanation,normal
very creative,normal
good solution,normal
great solution,normal
well structured,normal
good approach,normal
very nice work,normal
awesome explanation,normal
great performance,normal
nice output,normal
very nice explanation,normal
good teamwork,normal
excellent effort,normal
great improvement,normal
nice logic,normal
good coding,normal
very well done,normal
awesome result,normal
nice analysis,normal
good explanation,normal
very good performance,normal
excellent solution,normal
nice approach,normal
good implementation,normal
very smart work,normal
great coding,normal
nice output result,normal
good clarity explanation,normal
very good explanation,normal
awesome performance,normal
great work done,normal
nice understanding,normal
good result,normal
very good work,normal
excellent job done,normal
nice execution,normal
good development,normal
very impressive work,normal
great thinking,normal
nice completion,normal
good contribution,normal
very strong effort,normal
excellent performance,normal
nice coding work,normal
good logical thinking,normal
very effective work,normal
great presentation,normal
nice contribution,normal
good execution,normal
very nice performance,normal
excellent coding,normal
nice clarity,normal
good explanation style,normal
very helpful explanation,normal
great output,normal
nice work overall,normal
good progress,normal
very well explained,normal
excellent clarity,normal
nice solution approach,normal
good final result,normal